word,freq
ai,5962
blur,646
edit,2113
styles,221
stickers,1587
filters,1264
text,1338
video,1067
face,343
selfie,256
effects,793
remove,235
background,1624
avatars,721
fit,177
animation,23
templates,500
avatar,721
hair,132
tone,149
videos,739
frames,140
style,532
watch,411
overlay,105
adjust,523
tutorials,143
colors,1694
brush,263
brighten,25
auto,25
color,4004
filter,324
crop,291
rotate,27
mirror,78
frame,183
selfies,156
sticker,638
smile,41
template,263
wedding,399
weddings,39
shoes,14
live,223
fashion,275
retro,140
removal,21
watches,4
makeup,142
kids,90
tutorial,413
accessory,5
lips,16
accessories,30
tattoos,32
tattoo,108
tune,12
height,52
smooth,42
bag,59
kid,25
skin,32
brushes,100
count,43
nose,23
reshape,5
blush,18
eyelids,1
contour,8
bags,26
enlarge,17
beautify,44
animations,9
clone,34
nail,59
jewelry,27
nails,22
clothes,64
howto,9
vignette,20
celebrity,31
glasses,7
hdr,99
tall,12
oil,11
enlarger,2
taller,1
shoe,3
noses,2
mosaic,14
kaleidoscope,6
tuner,1
